! :: ,(!,-)
" :: ,(",-)
# :: ,(#,-)
' :: ,(',-)
( :: ,((,-)
) :: ,(),-)
* :: ,(*,-)
** :: ,(**,-)
, :: ,(,,-)
- :: ,(-,-)
-coreografa-americana-trisha-brown-1765864 :: ,(-coreografa-americana-trisha-brown-1765864,-)
-sanduiche-de-quarteira-que-vera-mantero-leva-para-a-praia-1773164 :: ,(-sanduiche-de-quarteira-que-vera-mantero-leva-para-a-praia-1773164,-)
. :: ,(.,-)
/ :: ,(/,-)
/1740832 :: ,(/1740832,-)
/1741272 :: ,(/1741272,-)
/1772195 :: ,(/1772195,-)
/1787762 :: ,(/1787762,-)
/n1778274 :: ,(/n1778274,-)
/n1781655 :: ,(/n1781655,-)
000 :: ,(0,-)
10 :: ,(10,-)
100 :: ,(100,-)
10_mil :: ,(10000,-)
10_mil_euros :: ,($_ecu:10000,-)
11-10-4 :: ,(11-10-4,-)
12 :: ,(12,-)
12-7-6 :: ,(12-7-6,-)
12.200 :: ,(12200,-)
13 :: ,(13,-)
14.ª :: ,(14.ª,-)
15 :: ,(15,-)
16 :: ,(16,-)
16_de_junho :: ,([??:16/6/??:??.??:??],-)
18 :: ,(18,-)
19 :: ,(19,-)
1969-70 :: ,(1969-70,-)
1997 :: ,(1997,-)
2000 :: ,(2000,-)
2000-01 :: ,(2000-01,-)
2001-02 :: ,(2001-02,-)
2005 :: ,(2005,-)
2007-08 :: ,(2007-08,-)
2008-09 :: ,(2008-09,-)
2009/2010 :: ,(2009/2010,-)
2010-11 :: ,(2010-11,-)
2011 :: ,(2011,-)
2012 :: ,(2012,-)
2014 :: ,(2014,-)
2015 :: ,(2015,-)
2016 :: ,(2016,-)
2017 :: ,(2017,-)
21h30 :: ,(21h30,-)
22 :: ,(22,-)
23_% :: ,(23/100,-)
24 :: ,(24,-)
24_% :: ,(24/100,-)
25 :: ,(25,-)
250_euros :: ,($_ecu:250,-)
27 :: ,(27,-)
28 :: ,(28,-)
29 :: ,(29,-)
30 :: ,(30,-)
33 :: ,(33,-)
3750_euros :: ,($_ecu:3750,-)
3_% :: ,(3/100,-)
42 :: ,(42,-)
43 :: ,(43,-)
45_mil_euros :: ,($_ecu:45000,-)
46 :: ,(46,-)
50_% :: ,(50/100,-)
5800 :: ,(5800,-)
60 :: ,(60,-)
60_% :: ,(60/100,-)
80 :: ,(80,-)
88 :: ,(88,-)
90 :: ,(90,-)
: :: ,(:,-)
; :: ,(;,-)
= :: ,(=,-)
> :: ,(>,-)
? :: ,(?,-)
[ :: ,([,-)
] :: ,(],-)
_ :: ,(_,-)
__ :: ,(__,-)
a :: ,(o,-),(a,-)
a_partir_de :: ,(a_partir_de,-)
abafados :: ,(abafar,-)
abandono :: ,(abandono,-)
abertura :: ,(abertura,-)
abordagem :: ,(abordagem,-)
abordou :: ,(abordar,-)
abraçou :: ,(abraçar,-)
abrigo :: ,(abrigo,-)
absorvem :: ,(absorver,-)
acabam :: ,(acabar,-)
acabaram :: ,(acabar,-)
acabem :: ,(acabem,-)
acabou :: ,(acabar,-)
academia :: ,(academia,-)
académica :: ,(académico,-)
aceitei :: ,(aceitar,-)
aceitou :: ,(aceitar,-)
