! :: ,(!,Fat)
" :: ,(",Fe)
# :: ,(#,Fz)
' :: ,(',Fe)
( :: ,((,Fpa)
) :: ,(),Fpt)
* :: ,(*,Fz)
** :: ,(**,Fz)
, :: ,(,,Fc)
- :: ,(-,Fg)
-coreografa-americana-trisha-brown-1765864 :: ,(-coreografa-americana-trisha-brown-1765864,Z)
-sanduiche-de-quarteira-que-vera-mantero-leva-para-a-praia-1773164 :: ,(-sanduiche-de-quarteira-que-vera-mantero-leva-para-a-praia-1773164,Z)
. :: ,(.,Fp)
/ :: ,(/,Fh)
/1740832 :: ,(/1740832,Z)
/1741272 :: ,(/1741272,Z)
/1772195 :: ,(/1772195,Z)
/1787762 :: ,(/1787762,Z)
/n1778274 :: ,(/n1778274,Z)
/n1781655 :: ,(/n1781655,Z)
000 :: ,(0,Z)
10 :: ,(10,Z)
100 :: ,(100,Z)
10_mil :: ,(10000,Z)
10_mil_euros :: ,($_ecu:10000,Zm)
11-10-4 :: ,(11-10-4,Z)
12 :: ,(12,Z)
12-7-6 :: ,(12-7-6,Z)
12.200 :: ,(12200,Z)
13 :: ,(13,Z)
14.ª :: ,(14.ª,Z)
15 :: ,(15,Z)
16 :: ,(16,Z)
16_de_junho :: ,([??:16/6/??:??.??:??],W)
18 :: ,(18,Z)
19 :: ,(19,Z)
1969-70 :: ,(1969-70,Z)
1997 :: ,(1997,Z)
2000 :: ,(2000,Z)
2000-01 :: ,(2000-01,Z)
2001-02 :: ,(2001-02,Z)
2005 :: ,(2005,Z)
2007-08 :: ,(2007-08,Z)
2008-09 :: ,(2008-09,Z)
2009/2010 :: ,(2009/2010,Z)
2010-11 :: ,(2010-11,Z)
2011 :: ,(2011,Z)
2012 :: ,(2012,Z)
2014 :: ,(2014,Z)
2015 :: ,(2015,Z)
2016 :: ,(2016,Z)
2017 :: ,(2017,Z)
21h30 :: ,(21h30,Z)
22 :: ,(22,Z)
23_% :: ,(23/100,Zp)
24 :: ,(24,Z)
24_% :: ,(24/100,Zp)
25 :: ,(25,Z)
250_euros :: ,($_ecu:250,Zm)
27 :: ,(27,Z)
28 :: ,(28,Z)
29 :: ,(29,Z)
30 :: ,(30,Z)
33 :: ,(33,Z)
3750_euros :: ,($_ecu:3750,Zm)
3_% :: ,(3/100,Zp)
42 :: ,(42,Z)
43 :: ,(43,Z)
45_mil_euros :: ,($_ecu:45000,Zm)
46 :: ,(46,Z)
50_% :: ,(50/100,Zp)
5800 :: ,(5800,Z)
60 :: ,(60,Z)
60_% :: ,(60/100,Zp)
80 :: ,(80,Z)
88 :: ,(88,Z)
90 :: ,(90,Z)
: :: ,(:,Fd)
; :: ,(;,Fx)
= :: ,(=,Fz)
> :: ,(>,Fz)
? :: ,(?,Fit)
[ :: ,([,Fca)
] :: ,(],Fct)
_ :: ,(_,Fz)
__ :: ,(__,Fz)
a :: ,(o,DA),(a,SP),(a,NP),(o,PP)
a_partir_de :: ,(a_partir_de,SP)
abafados :: ,(abafar,VMP)
abandono :: ,(abandono,NC)
abertura :: ,(abertura,NC)
abordagem :: ,(abordagem,NC)
abordou :: ,(abordar,VMI)
abraçou :: ,(abraçar,VMI)
abrigo :: ,(abrigo,NC)
absorvem :: ,(absorver,VMI)
acabam :: ,(acabar,VMI)
acabaram :: ,(acabar,VMI)
acabem :: ,(acabem,NP)
acabou :: ,(acabar,VMI)
academia :: ,(academia,NC)
académica :: ,(académico,AQ)
aceitei :: ,(aceitar,VMI)
aceitou :: ,(aceitar,VMI)
acho :: ,(achar,VMI)
acidente :: ,(acidente,NC)
acidentes :: ,(acidente,NC)
aconteceu :: ,(acontecer,VMI)
acordo :: ,(acordo,NC)
acredita :: ,(acreditar,VMI)
acresce :: ,(acrescer,VMI)
acrescenta :: ,(acrescentar,VMI)
acrescentando :: ,(acrescentar,VMG)
activados :: ,(activar,VMP)
activar :: ,(activar,VMN)
activista :: ,(activista,NC)
activistas :: ,(activista,NC)
